DealerName,City,State,DealerCode
Competent Automobiles,Delhi,Delhi,CMP
TR Sawhney Motors,Delhi,Delhi,TRS
Rana Motors,Delhi,Delhi,RAN
DD Motors,Delhi,Delhi,DDM
Kataria Automobiles,Ahmedabad,Gujarat,KAT
Amar Cars Pvt Ltd,Vadodara,Gujarat,AMR
KTL Automobiles,Kanpur,Uttar Pradesh,KTL
Prem Motors,Agra,Uttar Pradesh,PRM
Vipul Motors,Gurgaon,Haryana,VPL
Magic Auto,Delhi,Delhi,MAG
Varun Motors,Hyderabad,Telangana,VAR
Sagar Automobiles,Bengaluru,Karnataka,SAG
Pratham Motors,Bengaluru,Karnataka,PRT
Indus Motors,Kochi,Kerala,IND
Ambal Auto,Coimbatore,Tamil Nadu,AMB
Khivraj Motors,Chennai,Tamil Nadu,KHV
