ProductID,Model,VariantCode,Segment,BasePriceVariant,AvailableFuels
MSZ-ALTO-2000-001,Alto,V1,Hatchback,332500,Petrol;CNG
MSZ-ALTO-2000-002,Alto,V2,Hatchback,350000,Petrol;CNG
MSZ-ALTO-2000-003,Alto,V3,Hatchback,378000,Petrol;CNG
MSZ-WAGO-1999-001,Wagon R,V1,Hatchback,475000,Petrol;CNG
MSZ-WAGO-1999-002,Wagon R,V2,Hatchback,500000,Petrol;CNG
MSZ-WAGO-1999-003,Wagon R,V3,Hatchback,540000,Petrol;CNG
MSZ-CELE-2014-001,Celerio,V1,Hatchback,427500,Petrol;CNG
MSZ-CELE-2014-002,Celerio,V2,Hatchback,450000,Petrol;CNG
MSZ-CELE-2014-003,Celerio,V3,Hatchback,486000,Petrol;CNG
MSZ-EECO-2008-001,Eeco,V1,Van,380000,Petrol;CNG
MSZ-EECO-2008-002,Eeco,V2,Van,400000,Petrol;CNG
MSZ-EECO-2008-003,Eeco,V3,Van,432000,Petrol;CNG
MSZ-ERTI-2012-001,Ertiga,V1,MUV,855000,Petrol;CNG
MSZ-ERTI-2012-002,Ertiga,V2,MUV,900000,Petrol;CNG
MSZ-ERTI-2012-003,Ertiga,V3,MUV,972000,Petrol;CNG
MSZ-DZIR-2008-001,Dzire,V1,Sedan,760000,Petrol;CNG
MSZ-DZIR-2008-002,Dzire,V2,Sedan,800000,Petrol;CNG
MSZ-DZIR-2008-003,Dzire,V3,Sedan,864000,Petrol;CNG
MSZ-BALE-2015-001,Baleno,V1,Hatchback,855000,Petrol;CNG
MSZ-BALE-2015-002,Baleno,V2,Hatchback,900000,Petrol;CNG
MSZ-BALE-2015-003,Baleno,V3,Hatchback,972000,Petrol;CNG
MSZ-SWIF-2005-001,Swift,V1,Hatchback,665000,Petrol;CNG
MSZ-SWIF-2005-002,Swift,V2,Hatchback,700000,Petrol;CNG
MSZ-SWIF-2005-003,Swift,V3,Hatchback,756000,Petrol;CNG
MSZ-SPRE-2019-001,S-Presso,V1,Hatchback,427500,Petrol;CNG
MSZ-SPRE-2019-002,S-Presso,V2,Hatchback,450000,Petrol;CNG
MSZ-SPRE-2019-003,S-Presso,V3,Hatchback,486000,Petrol;CNG
MSZ-IGNI-2016-001,Ignis,V1,Hatchback,570000,Petrol
MSZ-IGNI-2016-002,Ignis,V2,Hatchback,600000,Petrol
MSZ-IGNI-2016-003,Ignis,V3,Hatchback,648000,Petrol
MSZ-BREZ-2016-001,Brezza,V1,SUV,902500,Petrol
MSZ-BREZ-2016-002,Brezza,V2,SUV,950000,Petrol
MSZ-BREZ-2016-003,Brezza,V3,SUV,1026000,Petrol
MSZ-CIAZ-2014-001,Ciaz,V1,Sedan,950000,Petrol
MSZ-CIAZ-2014-002,Ciaz,V2,Sedan,1000000,Petrol
MSZ-CIAZ-2014-003,Ciaz,V3,Sedan,1080000,Petrol
MSZ-FRON-2023-001,Fronx,V1,SUV,902500,Petrol
MSZ-FRON-2023-002,Fronx,V2,SUV,950000,Petrol
MSZ-FRON-2023-003,Fronx,V3,SUV,1026000,Petrol
MSZ-GRAN-2022-001,Grand Vitara,V1,SUV,1425000,Petrol Hybrid
MSZ-GRAN-2022-002,Grand Vitara,V2,SUV,1500000,Petrol Hybrid
MSZ-GRAN-2022-003,Grand Vitara,V3,SUV,1620000,Petrol Hybrid
MSZ-JIMN-2019-001,Jimny,V1,SUV,1425000,Petrol
MSZ-JIMN-2019-002,Jimny,V2,SUV,1500000,Petrol
MSZ-JIMN-2019-003,Jimny,V3,SUV,1620000,Petrol
MSZ-XL6-2019-001,XL6,V1,MUV,1140000,Petrol;CNG
MSZ-XL6-2019-002,XL6,V2,MUV,1200000,Petrol;CNG
MSZ-XL6-2019-003,XL6,V3,MUV,1296000,Petrol;CNG
MSZ-INVI-2021-001,Invicto,V1,SUV,1330000,Petrol Hybrid
MSZ-INVI-2021-002,Invicto,V2,SUV,1400000,Petrol Hybrid
MSZ-INVI-2021-003,Invicto,V3,SUV,1512000,Petrol Hybrid
MSZ-BALE-2020-001,Baleno RS,V1,Hatchback,1045000,Petrol
MSZ-BALE-2020-002,Baleno RS,V2,Hatchback,1100000,Petrol
MSZ-BALE-2020-003,Baleno RS,V3,Hatchback,1188000,Petrol
MSZ-FR0N-2023-001,Fr0nx,V1,SUV,902500,Petrol
MSZ-FR0N-2023-002,Fr0nx,V2,SUV,950000,Petrol
MSZ-FR0N-2023-003,Fr0nx,V3,SUV,1026000,Petrol
